Utterance,Emotion,label
You know? Forget it!,sadness,0
Do I ever.,joy,1
Chris says they’re closing down the bar.,sadness,0
Got me.,sadness,0
You betcha!,joy,1
"Um-mm, yeah right!",joy,1
"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,0
"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,0
Hi!,joy,1
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",joy,1
I’m so proud of you.,joy,1
Me too!,joy,1
"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sadness,0
Good job Joe! Well done! Top notch!,joy,1
"Oh-ho-ho, yeah!",joy,1
"I love the specifics, the specifics were the best part!",joy,1
Don’t go!,sadness,0
I’m sorry.,sadness,0
I’m so sorry!,sadness,0
"Great! Okay, here.",joy,1
Thank you. Thank you. Thank you!  And,joy,1
Can you hold on a moment? I have another call.  I love her.,joy,1
Ok.  Ok. Having a phone has finally paid off.,joy,1
Can you hold on a moment? I have another call.  I love her.,joy,1
Ok.  Ok. Having a phone has finally paid off.,joy,1
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy,1
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,joy,1
"All right, let’s go! Bye, Pheebs!",joy,1
"All right, let’s go! Bye, Pheebs!",joy,1
"Bye, Pheebs!",joy,1
London baby!!,joy,1
"Bye, Pheebs!",joy,1
London baby!!,joy,1
"Oh, do you need a hug? You don’t have to bring me anything!",joy,1
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,joy,1
I love your place! Where is this guy from?,joy,1
"Uh, well... Joey and I broke up.",sadness,0
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,0
"Anyway I just, uh, I think it's for the best.",sadness,0
I guess.,sadness,0
And most importantly I... you-you will have to catch us first.,joy,1
"GO, GO, GO!",joy,1
I guess.,sadness,0
And most importantly I... you-you will have to catch us first.,joy,1
"GO, GO, GO!",joy,1
I guess.,sadness,0
Or we could throw you both in,joy,1
Or we could throw you both in,joy,1
And most importantly I... you-you will have to catch us first.,joy,1
"GO, GO, GO!",joy,1
"Go, go, go!",joy,1
"Oh yeah, now everybody wants to be under this hat!",joy,1
"Oh yeah, now everybody wants to be under this hat!",joy,1
"Oh umm, my big scene is coming up. Big scene coming up.",joy,1
Pizza delivery!,joy,1
Pizza delivery!,joy,1
I'll get it! I will get that!,joy,1
Hi!,joy,1
Hi!,joy,1
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",joy,1
Okay!,joy,1
I have to pee. And Rachel's in the bathroom!,sadness,0
"Oh, unbelievable! We had the best time!",joy,1
No!,joy,1
No!,joy,1
No!,joy,1
You guys were totally right!,joy,1
This is so much better than the first time we went out.,joy,1
And!,joy,1
We have so much in common!,joy,1
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",joy,1
"Oh, unbelievable! We had the best time!",joy,1
"Yay!! Oh so, you’re not, you’re not mad at us anymore?",joy,1
No!,joy,1
No!,joy,1
No!,joy,1
You guys were totally right!,joy,1
This is so much better than the first time we went out.,joy,1
And!,joy,1
We have so much in common!,joy,1
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",joy,1
Would you look at her? She is so peaceful.,joy,1
Would you look at her? She is so peaceful.,joy,1
Thanks.,joy,1
I mean that’s unbelievable.,joy,1
I mean that’s unbelievable.,joy,1
Pa-haa!! I would love to go with you.,joy,1
"Okay. Honey, I would love for you to go with me.  What?",joy,1
": I know, we did it!! Hey, that was incredible, huh?!",joy,1
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy,1
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",joy,1
"Oh well, okay, good luck.",joy,1
Yes!! I knew it!!  Bye-bye! So long! Later!,joy,1
Oh this is great! I might actually get to play Ben's dad!,joy,1
Yeah!,joy,1
"Man, this is gonna be kinda weird.",sadness,0
"Man, this is gonna be kinda weird.",sadness,0
Yes!! I knew it!!  Bye-bye! So long! Later!,joy,1
Yeah!,joy,1
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,0
"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",joy,1
"And it’s all because of you, wonderful, amazing you.",joy,1
"No, no, I’m serious. Thank you.",joy,1
"It’s worth the pain.  Y’know what, you know what? It’s not.",sadness,0
"I do! Want a hint? huh? ""I do""  ""I do"".",joy,1
David is going to propose to Phoebe.,joy,1
It-it’s great to meet you Paul.,joy,1
It-it’s great to meet you Paul.,joy,1
You have to tell her!,joy,1
You have to tell her!,joy,1
You have to tell her!,joy,1
You have to tell her!,joy,1
You have to tell her!,joy,1
You have to tell her!,joy,1
It’s the big night! We wanted to wish you good luck!,joy,1
It’s the big night! We wanted to wish you good luck!,joy,1
You are beautiful.,joy,1
"Oh, thank you!   What’s going on?",joy,1
"Oh, thank you!   What’s going on?",joy,1
Yep! That's hilarious!,joy,1
I did it!,joy,1
I rode a bike!,joy,1
I never thought I’d be able to do that!,joy,1
Thank you Ross.,joy,1
"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them.",joy,1
What a baby.,sadness,0
Total wuss!,sadness,0
What a baby.,sadness,0
Wow! This looks great!,joy,1
"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",joy,1
Okay!,joy,1
Okay!,joy,1
"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",joy,1
"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",joy,1
Yeah! Ask them if they brought their friends any souvenirs!,joy,1
Yeah! Ask them if they brought their friends any souvenirs!,joy,1
All right! I’ll have a sandwich!,joy,1
I don’t think this number’s right!,sadness,0
I don’t think this number’s right!,sadness,0
Oh come on!!,sadness,0
"Gotta go. I miss you too, I love you, but it's getting real late now",sadness,0
"Dude, I am sorry about what I said!",sadness,0
Because we won our apartment back!,joy,1
"But, we pick again! We pick again!",joy,1
Yeah baby!,joy,1
Tickets please!  That’s courtside baby!,joy,1
No they didn’t!,joy,1
Yeah baby!,joy,1
"But, we pick again! We pick again!",joy,1
Tickets please!  That’s courtside baby!,joy,1
"No, no wait, for get them, we got one, hard left.",joy,1
"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",joy,1
What'd I tell you? What'd I tell you?,joy,1
"Well Ross, you be careful now. You don’t want to get a reputation as y’know Professor McNailshisstudents.",joy,1
Joey that is so sweet.,joy,1
Joey that is so sweet.,joy,1
I couldn’t do it.,sadness,0
"Morning! Hey, how’s my favorite genius and my little robot buddy?!",joy,1
"Come on man, you-you got to give me a second chance!",sadness,0
"I mean, I love-I love this little guy!",joy,1
"Hi. Look um, about what happened earlier...",sadness,0
"Ooh, I have to tell you something.",joy,1
Hi!,joy,1
Richard!,joy,1
"Well, it was great seeing you the other night.",joy,1
No! I came here to tell you something else.  I came here  to tell you I still love you.,joy,1
So forcing her to marry Bobby is gonna make that happen?,sadness,0
Come here!,joy,1
Because! ‘Cause… ‘Cause you’re my baby sister!,sadness,0
And you’re my big brother!,joy,1
"Joey, I can’t stand the thought of having this baby with you mad at me.",sadness,0
I want him to have his uncle.,sadness,0
Is my baby gonna have his Uncle Joey?,sadness,0
Of course he’s gonna have his Uncle Joey!,joy,1
"We’re gonna be all right. I mean, even if we’re not married this baby is gonna be so loved. Not just by us.",joy,1
That’s right! By his uncle too!,joy,1
"You bet I am!  And to answer your earlier question, we’re straight-up gangster rap.",joy,1
And you’re my big brother!,joy,1
"Joey, I can’t stand the thought of having this baby with you mad at me.",sadness,0
I want him to have his uncle.,sadness,0
Is my baby gonna have his Uncle Joey?,sadness,0
That’s right! By his uncle too!,joy,1
And by you.,joy,1
And by you.,joy,1
I had a really nice time tonight.,joy,1
So did I. I'm really glad Monica asked us out.,joy,1
Hi!,joy,1
You are so dead! I'm gonna get you.,joy,1
Hi!,joy,1
You are so bad!,joy,1
You are!,joy,1
You are!,joy,1
You are!,joy,1
You are!,joy,1
You are!,joy,1
You are!,joy,1
You are so dead! I'm gonna get you.,joy,1
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was",joy,1
"Of course, you did.",joy,1
Forgot something else too ya bastard!,joy,1
"Of course, you did.",joy,1
Forgot something else too ya bastard!,joy,1
"No. No, not at all, that’s-that’s ridiculous.",sadness,0
"Everybody else got one, and you want one too. Don’t you?",joy,1
"Ye-ye-yeah, yes I do!",sadness,0
"Now get on out of here, you!",joy,1
Hey! How’s my pal Toby doing today?,joy,1
Toby!,joy,1
Yeah!,joy,1
Yeah!,joy,1
Hey! Guess what I got for your wedding!,joy,1
"No. Rachel hooked me up with a tux! But not just any tux, Batman’s tux!",joy,1
That’s right! Made expressly for Val Kilmer and worn by him in the hit film…that Batman film he was in.,joy,1
So—If you wear that you’ll make mine less special.,sadness,0
Oo! You should have one of us do it!,joy,1
No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,joy,1
No! No! It’s-it’s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,joy,1
I call it!!,joy,1
"See, I see.... big passion in your future.",joy,1
"Oh Ross, you're so great. [she playfully rubs his head and gets up]",joy,1
"Aw, honey it’s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don’t see that happening.",sadness,0
"I love you, too.",joy,1
"Aww, good.  What?",joy,1
What? I’m just said.,sadness,0
I would love to live with you Ross.. that’s-that’s great! Thank you!,joy,1
"Ross-Ross, you have no idea what this means to me!",joy,1
"I mean, I mean I was gonna be homeless.",sadness,0
You just saved me!,joy,1
You’re my hero!,joy,1
"Oh, I have to go tell Monica what a wonderful brother she has!",joy,1
"Oh please!   You’re gonna say things now, aren’t ya?",joy,1
"Oh please!   You’re gonna say things now, aren’t ya?",joy,1
"Uh, listen, I just wanna thank you for this great opportunity.",joy,1
That's great.,joy,1
That's great.,joy,1
"Yeah, it was really hard.",sadness,0
"Wow! That’s ah, that’s pretty nice!",joy,1
"With a chick-chick here, and a chick-chick there.",joy,1
"Here a chick, there a chick, everywhere a chick-chick--chickeeeen.",joy,1
"Okay, good, so there you go. Go with Vince.",joy,1
It was an amazing night.,joy,1
It was. It was an amazing night.,joy,1
You think it looked amazing?,sadness,0
Hello baby girl.,joy,1
"Ah-ha, nowhere to run!",joy,1
Rach! Hey! It’s fine! You’re at Joey’s!,joy,1
"I don't know, but one of the extras sure did!  Hey, listen    Rach. Thanks again for coming down to watch my scenes!",joy,1
Oh my God! I love him!,joy,1
My surprise party!,joy,1
Oh stop it. Joey already told me.,joy,1
Well what are you gonna do when he finds out he wasn’t even asked?!,sadness,0
"Oh, wait, Joshua! Joshua!   Yeah, well, that oughta do it.",sadness,0
"Oh, me too.",joy,1
"Oh, are you sure you're ok?",sadness,0
Does it still hurt?,sadness,0
Yeah.,sadness,0
Yeah.,sadness,0
What a neat idea. All your clothes match. I'm gonna do this.,joy,1
What a neat idea. All your clothes match. I'm gonna do this.,joy,1
Excellent.,joy,1
Excellent.,joy,1
"We ripped that couple apart, and kept the pieces for ourselves.",joy,1
"We ripped that couple apart, and kept the pieces for ourselves.",joy,1
"What a beautiful story. Hey, I'm fine by the way.",joy,1
Good for you Pheebs!,joy,1
Hi!,joy,1
"What do you mean, handling it?",joy,1
There’s nothing to handle.,joy,1
"I’m telling ya, you’re gonna be dancing at my wedding before you’re dancing at there’s.",joy,1
Hi!,joy,1
"What do you mean, handling it?",joy,1
There’s nothing to handle.,joy,1
"I’m telling ya, you’re gonna be dancing at my wedding before you’re dancing at there’s.",joy,1
I don’t want to lose you.,sadness,0
Say more things like that.,joy,1
"You can have your own office, and a raise! Effective tomorrow.",joy,1
Done!,joy,1
"Sophie, get in here!",joy,1
Monica? You gonna be very proud of me. I just got us dates with two unbelievably cute nurses.,joy,1
"Anyway, they want to take us out Saturday night! What do you say?",joy,1
"Anyway, they want to take us out Saturday night! What do you say?",joy,1
Umm.  Umm. Umm. I don't think so.,joy,1
Hey!,joy,1
Hey!,joy,1
Y’know I’m-I’m really glad we decided not to sleep together before the wedding.,joy,1
"Oh boy, me too!",joy,1
That’s me! Come on!,joy,1
Hi! Nice to meet you!,joy,1
"Umm, this is great wine.",joy,1
"Uh-hmm—Wait! It gets better. Um, yeah I was in Barcelona.",joy,1
I love hiking!,joy,1
Oh that’s great! I was hiking along the foothills of Mount Tibidaybo,joy,1
Oh we-we didn’t.,joy,1
"You can come in, but your filter-tipped little buddy has to stay outside!",joy,1
"You can come in, but your filter-tipped little buddy has to stay outside!",joy,1
Hey! Great advice on that Joey thing!,joy,1
Oh it was perfect! I mean it really felt like he was my friend again.,joy,1
Oh it was perfect! I mean it really felt like he was my friend again.,joy,1
I think somebody needs another lap dance.,joy,1
"Very good,  so good.",joy,1
"I really, really enjoyed it. Very exotic.",joy,1
Come on! Look where you are!!,joy,1
"I really, really enjoyed it. Very exotic.",joy,1
"Well, I just checked our messages and Joshua didn’t call.",sadness,0
I mean you’d think he’d be worried about me not showing up at his club.,sadness,0
"Ugh, you know what makes it so much worse, Ross is all happy in Vermont!",sadness,0
Come on! Look where you are!!,joy,1
Hey! How was sailing?,joy,1
Wow thanks!,joy,1
Yeah!,joy,1
"Oh, that'd be great!",joy,1
"Oh, that'd be great!",joy,1
It’s better! You can’t go to a museum in your underwear!,joy,1
Oh-ho! I bet the British version is gooooood!,joy,1
"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a",sadness,0
"No. The one in Atlantic City, Dad loves the slots. He says he’s gonna double the college money my Grandma left me.",sadness,0
"Oh, um, I don’t know if that’s a good idea.",joy,1
"No, I just I think that it’s too soon.",joy,1
"Chandler, what kind of an idiot do you take me for?",joy,1
"I’m sorry you lost your money, but I won it fair and square.",joy,1
"Doesn't matter, I'm never gonna get to meet her anyway.",sadness,0
"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.",sadness,0
"Rachel, I have not missed one question the whole game. I own this game! Look at my hand.",joy,1
"Yeah, come on, we can be guys!",joy,1
"Yeah, come on, we can be guys!",joy,1
No you can’t.,joy,1
No you can’t.,joy,1
I’m sorry.,sadness,0
"Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food.",joy,1
"Well, if that were true, I’d dating my Aunt Ruth.",joy,1
"Well, if that were true, I’d dating my Aunt Ruth.",joy,1
I know I miss you too. I can't wait to see you. I love you. Bye.,joy,1
"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",sadness,0
"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",sadness,0
"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",joy,1
"I loved this place! To tell you the truth, I wish I didn't have to move.",joy,1
"Well, I mean if uh, if Emily gave me a choice",sadness,0
"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",joy,1
"I left a bra drying on the shower rod, you don’t think your son will think it’s yours and be horribly traumatised?",joy,1
"Morning’s here! Sunshine is here! The sky is clear, the morning’s here! The morning’s here!",joy,1
